Family,Genus,Species,Data_type,Size_sd,Size_Est,P4_sd,P4_Est,m1_sd,m1_Est
Ailuridae,Simocyon,diaphorus,Inferred_teeth,0.337,1.493,0.043,1.283,0,1.365
Ailuridae,Simocyon,hungaricus,Inferred_teeth,0.344,1.49,0.045,1.282,0,1.364
Ailuridae,Simocyon,marshi,Inferred_teeth,0.351,1.504,0.047,1.288,0,1.37
Ailuridae,Simocyon,primigenius,Inferred_teeth,0.359,1.568,0.05,1.313,0,1.398
Amphicynodontidae,Allocyon,loganensis,Inferred_teeth,0.253,1.229,0.047,1.082,0,1.161
Amphicynodontidae,Amphicticeps,dorog,Inferred_teeth,0.267,0.901,0,1.041,0,1.047
Amphicynodontidae,Amphicticeps,makhchinus,Inferred_teeth,0.269,1.04,0,1.104,0.038,1.102
Amphicynodontidae,Amphicticeps,shackelfordi,Inferred_teeth,0.3,0.727,0,0.982,0,0.961
Amphicynodontidae,Amphicynodon,brachyrostris,Inferred_teeth,0.252,0.972,0.043,1.033,0,1.079
Amphicynodontidae,Amphicynodon,cephalogalinus,Inferred_Phylogeny,0.329,0.61,0.089,0.886,0.088,0.921
Amphicynodontidae,Amphicynodon,chardini,Inferred_Phylogeny,0.354,0.706,0.105,0.925,0.103,0.963
Amphicynodontidae,Amphicynodon,crassirostris,Inferred_teeth,0.258,0.695,0.045,0.921,0,0.959
Amphicynodontidae,Amphicynodon,gracilis,Inferred_teeth,0.256,0.399,0.038,0.801,0,0.829
Amphicynodontidae,Amphicynodon,leptorhynchus,Inferred_Phylogeny,0.328,0.66,0.092,0.907,0.091,0.944
Amphicynodontidae,Amphicynodon,teilhardi,Inferred_teeth,0.263,0.607,0,0.886,0,0.919
Amphicynodontidae,Amphicynodon,typicus,Inferred_Phylogeny,0.352,0.75,0.103,0.943,0.099,0.983
Amphicynodontidae,Amphicynodon,velaunus,Inferred_Phylogeny,0.342,0.677,0.099,0.914,0.098,0.951
Amphicynodontidae,Drassonax,harpagops,Inferred_teeth,0.228,0.605,0.045,0.865,0,0.903
Amphicynodontidae,Nothocyon,geismarianus,Inferred_teeth,0.322,0.881,0,0.954,0.065,1.022
Amphicynodontidae,Pachycynodon,tedfordi,Inferred_teeth,0.257,1.047,0.048,1.009,0,1.083
Amphicynodontidae,Parictis,dakotensis,Inferred_teeth,0.257,0.64,0.045,0.917,0,0.952
Amphicynodontidae,Parictis,gilpini,Inferred_teeth,0.255,0.559,0.045,0.884,0,0.916
Amphicynodontidae,Parictis,major,Inferred_teeth,0.237,0.828,0.039,0.993,0,1.033
Amphicynodontidae,Parictis,montanus,Inferred_teeth,0.231,0.497,0.037,0.859,0,0.889
Amphicynodontidae,Parictis,parvus,Inferred_teeth,0.247,0.307,0.043,0.782,0,0.806
Amphicynodontidae,Parictis,personi,Inferred_teeth,0.217,0.471,0,0.845,0,0.881
Amphicynodontidae,Parictis,primaevus,Inferred_teeth,0.243,0.366,0.041,0.806,0,0.833
Amphicyonidae,Adilophontes,brachykolos,Measured,0,2.138,0,1.431,0,1.462
Amphicyonidae,Afrocyon,buroletti,Inferred_teeth,0.268,2.274,0.049,1.42,0,1.491
Amphicyonidae,Afrocyon,ginsburgi,Inferred_teeth,0.275,2.176,0.051,1.38,0,1.449
Amphicyonidae,Afrocyon,macrodon,Inferred_teeth,0.293,2.091,0.056,1.346,0,1.412
Amphicyonidae,Agnotherium,antiquum,Inferred_teeth,0.301,2.392,0,1.524,0,1.5
Amphicyonidae,Agnotherium,grivense,Inferred_teeth,0.297,2.423,0.057,1.498,0,1.55
Amphicyonidae,Aktaucyon,brachifacialis,Inferred_teeth,0.266,2.416,0,1.491,0.055,1.553
Amphicyonidae,Amphicyon,confucianus,Inferred_teeth,0.216,2.616,0.046,1.491,0,1.58
Amphicyonidae,Amphicyon,cooperi,Inferred_teeth,0.213,2.464,0.046,1.43,0,1.512
Amphicyonidae,Amphicyon,frendens,Measured,0,2.635,0.046,1.487,0,1.568
Amphicyonidae,Amphicyon,galushai,Measured,0,2.763,0,1.412,0,1.486
Amphicyonidae,Amphicyon,giganteus,Inferred_teeth,0.286,2.523,0,1.471,0,1.522
Amphicyonidae,Amphicyon,ingens,Measured,0,2.763,0,1.545,0,1.607
Amphicyonidae,Amphicyon,lathanicus,Inferred_teeth,0.189,2.458,0,1.396,0,1.538
Amphicyonidae,Amphicyon,major,Measured,0,2.32,0,1.463,0,1.527
Amphicyonidae,Amphicyon,olisiponensis,Inferred_teeth,0.221,2.612,0,1.494,0.047,1.574
Amphicyonidae,Amphicyon,palaeindicus,Inferred_teeth,0.328,2.243,0.068,1.411,0,1.491
Amphicyonidae,Amphicyon,tairumensis,Inferred_teeth,0.294,2.139,0.06,1.369,0,1.447
Amphicyonidae,Amphicyon,ulungurensis,Inferred_Phylogeny,0.408,2.142,0.128,1.372,0.127,1.449
Amphicyonidae,Amphicyonopsis,serus,Inferred_teeth,0.291,2.297,0.057,1.433,0,1.519
Amphicyonidae,Angelarctocyon,australis,Inferred_teeth,0.206,0.667,0,0.886,0,0.884
Amphicyonidae,Askazansoria,mavrini,Inferred_Phylogeny,0.404,2.112,0.129,1.353,0.129,1.424
Amphicyonidae,Bonisicyon,illacabo,Inferred_teeth,0.32,1.741,0,1.204,0,1.279
Amphicyonidae,Borocyon,neomexicanus,Measured,0,1.94,0,1.367,0,1.439
Amphicyonidae,Borocyon,niobrarensis,Inferred_teeth,0.247,1.976,0,1.42,0,1.456
Amphicyonidae,Borocyon,robustum,Inferred_teeth,0.228,2.006,0,1.42,0,1.481
Amphicyonidae,Brachyrhynchocyon,dodgei,Inferred_teeth,0.206,1.207,0,1.146,0,1.149
Amphicyonidae,Brachyrhynchocyon,intermedius,Inferred_Phylogeny,0.293,1.094,0.095,1.096,0.093,1.104
Amphicyonidae,Brachyrhynchocyon,montanus,Inferred_teeth,0.205,0.987,0.041,1.053,0,1.057
Amphicyonidae,Crassidia,intermedia,Inferred_teeth,0.186,2.485,0,1.479,0,1.514
Amphicyonidae,Cynelos,caroniavorus,Inferred_teeth,0.231,1.43,0,1.114,0,1.176
Amphicyonidae,Cynelos,crassidens,Inferred_teeth,0.241,1.594,0.05,1.167,0,1.227
Amphicyonidae,Cynelos,helbingi,Inferred_teeth,0.268,1.733,0,1.17,0,1.344
Amphicyonidae,Cynelos,idoneus,Inferred_teeth,0.25,2.045,0.052,1.361,0,1.446
Amphicyonidae,Cynelos,lemanensis,Inferred_teeth,0.236,1.797,0,1.255,0,1.317
Amphicyonidae,Cynelos,malasi,Inferred_teeth,0.205,1.829,0,1.267,0.04,1.347
Amphicyonidae,Cynelos,rugosidens,Inferred_teeth,0.253,1.656,0.05,1.188,0,1.265
Amphicyonidae,Cynelos,schlosseri,Inferred_teeth,0.276,1.577,0.056,1.157,0,1.23
Amphicyonidae,Cynelos,sinapius,Inferred_teeth,0.261,2.282,0.055,1.456,0,1.548
Amphicyonidae,Cynodictis,lacustris,Inferred_teeth,0.293,0.916,0.064,1.036,0,1.041
Amphicyonidae,Daphoenictis,tedfordi,Inferred_teeth,0.222,1.29,0.048,1.17,0,1.188
Amphicyonidae,Daphoenodon,falkenbachi,Measured,0,2.137,0,1.427,0,1.484
Amphicyonidae,Daphoenodon,notionastes,Inferred_teeth,0.191,1.617,0.041,1.282,0,1.316
Amphicyonidae,Daphoenodon,skinneri,Measured,0,1.602,0,1.38,0,1.415
Amphicyonidae,Daphoenodon,superbus,Inferred_teeth,0.204,1.815,0,1.369,0,1.398
Amphicyonidae,Daphoenus,hartshornianus,Measured,0,1.041,0,1.143,0.049,1.14
Amphicyonidae,Daphoenus,lambei,Inferred_teeth,0.184,0.982,0,1.053,0,1.057
Amphicyonidae,Daphoenus,socialis,Inferred_teeth,0.288,1.369,0.066,1.22,0,1.233
Amphicyonidae,Daphoenus,transversus,Inferred_teeth,0.23,1.204,0.053,1.154,0,1.161
Amphicyonidae,Daphoenus,vetus,Measured,0,1.431,0.048,1.194,0,1.199
Amphicyonidae,Delotrochanter,major,Inferred_teeth,0.308,1.941,0,1.371,0,1.447
Amphicyonidae,Delotrochanter,oryktes,Inferred_teeth,0.31,1.893,0,1.344,0,1.433
Amphicyonidae,Delotrochanter,petersoni,Inferred_teeth,0.285,1.73,0.039,1.294,0,1.348
Amphicyonidae,Gobicyon,macrognathus,Inferred_teeth,0.333,2.089,0,1.38,0,1.436
Amphicyonidae,Gobicyon,zhegalloi,Inferred_teeth,0.291,2.244,0.046,1.439,0,1.508
Amphicyonidae,Goupilictis,minor,Inferred_teeth,0.217,1.39,0,1.09,0,1.141
Amphicyonidae,Guangxicyon,sinoamericanus,Inferred_teeth,0.219,1.629,0.042,1.28,0,1.314
Amphicyonidae,Gustafsonia,cognita,Inferred_teeth,0.217,0.595,0,0.833,0.042,0.876
Amphicyonidae,Haplocyon,crucians,Inferred_teeth,0.31,1.691,0,1.288,0,1.322
Amphicyonidae,Haplocyon,elegans,Inferred_teeth,0.313,1.54,0,1.228,0,1.256
Amphicyonidae,Haplocyonoides,mordax,Inferred_teeth,0.344,1.716,0,1.288,0,1.341
Amphicyonidae,Haplocyonoides,ponticus,Inferred_teeth,0.372,1.881,0.059,1.363,0,1.407
Amphicyonidae,Haplocyonoides,serbiae,Inferred_Phylogeny,0.45,1.759,0.125,1.313,0.122,1.354
Amphicyonidae,Haplocyonoides,suevicus,Inferred_teeth,0.323,1.684,0,1.294,0,1.31
Amphicyonidae,Haplocyonopsis,crassidens,Inferred_teeth,0.305,1.837,0,1.315,0,1.415
Amphicyonidae,Harpagophagus,sanguinensis,Inferred_Phylogeny,0.338,1.699,0.11,1.239,0.112,1.277
Amphicyonidae,Hecubides,euryodon,Inferred_teeth,0.262,1.856,0,1.262,0,1.299
Amphicyonidae,Hecubides,minor,Inferred_Phylogeny,0.43,2.084,0.135,1.345,0.134,1.407
Amphicyonidae,Ictiocyon,socialis,Inferred_teeth,0.261,1.645,0.057,1.169,0,1.225
Amphicyonidae,Ischyrocyon,gidleyi,Measured,0,2.398,0,1.529,0,1.59
Amphicyonidae,Janvierocyon,pontignensis,Inferred_teeth,0.252,2.15,0,1.301,0,1.508
Amphicyonidae,Maemohcyon,potisati,Inferred_teeth,0.283,2.106,0.057,1.355,0,1.432
Amphicyonidae,Magericyon,anceps,Inferred_teeth,0.304,2.233,0,1.392,0,1.517
Amphicyonidae,Magericyon,castellanus,Inferred_teeth,0.309,2.306,0.05,1.433,0,1.538
Amphicyonidae,Mammacyon,ferocior,Inferred_teeth,0.293,1.985,0,1.415,0,1.442
Amphicyonidae,Mammacyon,obtusidens,Inferred_teeth,0.305,1.867,0,1.371,0,1.387
Amphicyonidae,Myacyon,dojambir,Inferred_teeth,0.312,2.469,0.056,1.495,0,1.58
Amphicyonidae,Myacyon,kiptalami,Inferred_teeth,0.294,2.337,0,1.431,0,1.531
Amphicyonidae,Paradaphoenus,cuspigerus,Measured,0,0.602,0,0.954,0,0.968
Amphicyonidae,Paradaphoenus,minimus,Inferred_teeth,0.191,0.688,0,0.944,0,0.94
Amphicyonidae,Paradaphoenus,tooheyi,Inferred_teeth,0.252,0.658,0,0.919,0,0.944
Amphicyonidae,Pliocyon,medius,Measured,0,2.124,0.051,1.422,0,1.517
Amphicyonidae,Pliocyon,robustus,Inferred_teeth,0.237,2.2,0.054,1.43,0,1.521
Amphicyonidae,Pseudarctos,bavaricus,Inferred_teeth,0.31,1.555,0.07,1.134,0,1.188
Amphicyonidae,Pseudocyon,caucasicus,Inferred_teeth,0.227,2.363,0.047,1.403,0,1.481
Amphicyonidae,Pseudocyon,NorthAmerica,Inferred_teeth,0.276,2.52,0.059,1.466,0,1.55
Amphicyonidae,Pseudocyon,sansaniensis,Measured,0,2.389,0,1.398,0,1.473
Amphicyonidae,Pseudocyon,steinheimensis,Inferred_teeth,0.252,2.32,0,1.367,0,1.48
Amphicyonidae,Pseudocyon,styriacus,Inferred_teeth,0.227,2.319,0.047,1.385,0,1.462
Amphicyonidae,Pseudocyonopsis,antiquus,Inferred_teeth,0.206,1.729,0,1.288,0,1.258
Amphicyonidae,Rudiocyon,amplidens,Inferred_teeth,0.293,1.997,0.046,1.409,0,1.458
Amphicyonidae,Temnocyon,altigenis,Inferred_teeth,0.311,1.579,0,1.25,0,1.266
Amphicyonidae,Temnocyon,ferox,Inferred_teeth,0.294,1.789,0,1.346,0,1.346
Amphicyonidae,Temnocyon,fingeruti,Inferred_teeth,0.286,1.841,0,1.342,0,1.393
Amphicyonidae,Temnocyon,macrogenys,Inferred_teeth,0.314,1.977,0.051,1.4,0,1.45
Amphicyonidae,Temnocyon,percussor,Inferred_teeth,0.316,1.81,0.051,1.332,0,1.377
Amphicyonidae,Temnocyon,subferox,Inferred_teeth,0.246,1.668,0,1.286,0,1.305
Amphicyonidae,Thaumastocyon,bourgeoisi,Inferred_teeth,0.273,1.995,0.054,1.314,0,1.389
Amphicyonidae,Thaumastocyon,dirus,Inferred_Phylogeny,0.445,2.091,0.142,1.353,0.138,1.431
Amphicyonidae,Vishnucyon,chinjiensis,Inferred_teeth,0.289,2.129,0,1.364,0.056,1.444
Amphicyonidae,Ysengrinia,americana,Measured,0,2.267,0,1.435,0,1.459
Amphicyonidae,Ysengrinia,depereti,Inferred_teeth,0.256,2.259,0.057,1.437,0,1.484
Amphicyonidae,Ysengrinia,gerandiana,Inferred_teeth,0.219,2.056,0.048,1.354,0,1.396
Amphicyonidae,Ysengrinia,tolosana,Inferred_teeth,0.193,2.161,0.041,1.399,0,1.45
Amphicyonidae,Ysengrinia,valentiana,Inferred_Phylogeny,0.369,2.12,0.124,1.38,0.12,1.424
Barbourofelidae,Afrosmilus,africanus,Inferred_teeth,0.242,1.453,0,1.322,0.04,1.215
Barbourofelidae,Afrosmilus,hispanicus,Inferred_teeth,0.231,1.441,0,1.322,0,1.204
Barbourofelidae,Afrosmilus,turkanae,Inferred_teeth,0.229,1.11,0,1.164,0,1.083
Barbourofelidae,Albanosmilus,jourdani,Inferred_teeth,0.242,1.891,0.048,1.506,0,1.371
Barbourofelidae,Albanosmilus,whitfordi,Inferred_teeth,0.26,1.912,0.053,1.514,0,1.38
Barbourofelidae,Barbourofelis,fricki,Inferred_teeth,0.243,2.386,0.048,1.711,0,1.574
Barbourofelidae,Barbourofelis,loveorum,Inferred_teeth,0.244,2.222,0.05,1.641,0,1.507
Barbourofelidae,Barbourofelis,morrisi,Measured,0,2.086,0.049,1.568,0,1.423
Barbourofelidae,Barbourofelis,piveteaui,Inferred_teeth,0.218,2.081,0,1.605,0,1.425
Barbourofelidae,Ginsburgsmilus,napakensis,Inferred_teeth,0.244,1.286,0,1.214,0,1.186
Barbourofelidae,Prosansanosmilus,eggeri,Inferred_teeth,0.237,1.239,0,1.255,0,1.097
Barbourofelidae,Prosansanosmilus,peregrinus,Inferred_teeth,0.235,1.511,0.039,1.35,0,1.23
Barbourofelidae,Sansanosmilus,palmidens,Inferred_teeth,0.274,1.599,0.055,1.385,0,1.258
Barbourofelidae,Syrtosmilus,syrtensis,Inferred_teeth,0.227,1.139,0.04,1.196,0,1.071
Barbourofelidae,Vampyrictis,vipera,Inferred_teeth,0.211,2.055,0.042,1.573,0,1.436
Canidae,Aelurodon,asthenostylus,Inferred_teeth,0.368,1.627,0,1.367,0,1.408
Canidae,Aelurodon,ferox,Inferred_teeth,0.393,1.743,0,1.422,0,1.451
Canidae,Aelurodon,mcgrewi,Inferred_teeth,0.372,1.688,0,1.419,0,1.409
Canidae,Aelurodon,montanensis,Inferred_teeth,0.36,1.795,0,1.455,0,1.462
Canidae,Aelurodon,stirtoni,Inferred_teeth,0.376,1.628,0,1.384,0,1.393
Canidae,Aelurodon,taxoides,Inferred_teeth,0.397,1.809,0,1.45,0,1.478
Canidae,Archaeocyon,falkenbachi,Inferred_teeth,0.321,0.581,0,0.929,0.052,0.966
Canidae,Archaeocyon,leptodus,Inferred_teeth,0.316,0.582,0,0.925,0,0.97
Canidae,Archaeocyon,pavidus,Inferred_teeth,0.293,0.343,0,0.828,0,0.867
Canidae,Atelocynus,microtis,Measured,0,0.889,0.096,1.146,0.094,1.188
Canidae,Borophagus,diversidens,Inferred_teeth,0.421,1.897,0,1.484,0,1.517
Canidae,Borophagus,dudleyi,Inferred_teeth,0.415,1.949,0,1.508,0.047,1.538
Canidae,Borophagus,hilli,Inferred_teeth,0.417,1.81,0,1.454,0,1.475
Canidae,Borophagus,littoralis,Inferred_teeth,0.406,1.668,0,1.386,0,1.423
Canidae,Borophagus,orc,Inferred_teeth,0.411,1.484,0,1.309,0,1.345
Canidae,Borophagus,parvus,Inferred_teeth,0.408,1.517,0,1.306,0,1.376
Canidae,Borophagus,pugnator,Inferred_teeth,0.406,1.681,0,1.39,0,1.429
Canidae,Borophagus,secundus,Inferred_teeth,0.406,1.69,0,1.398,0,1.43
Canidae,Caedocyon,tedfordi,Inferred_teeth,0.292,1.277,0,1.233,0.044,1.231
Canidae,Canis,adustus,Measured,0,1.011,0.049,1.186,0,1.21
Canidae,Canis,armbrusteri,Inferred_teeth,0.208,1.569,0,1.432,0,1.47
Canidae,Canis,arnensis,Inferred_teeth,0.251,1.183,0.05,1.282,0,1.318
Canidae,Canis,aureus,Measured,0,1.015,0.043,1.215,0,1.241
Canidae,Canis,brevirostris,Inferred_teeth,0.187,1.569,0,1.431,0,1.479
Canidae,Canis,cautleyi,Inferred_teeth,0.202,1.329,0.043,1.339,0,1.382
Canidae,Canis,cedazoensis,Inferred_teeth,0.194,1.061,0,1.223,0.042,1.27
Canidae,Canis,dirus,Inferred_teeth,0.208,1.689,0,1.469,0,1.533
Canidae,Canis,edwardii,Inferred_teeth,0.227,1.349,0,1.338,0,1.397
Canidae,Canis,etruscus,Inferred_teeth,0.224,1.359,0.049,1.349,0,1.389
Canidae,Canis,ferox,Inferred_teeth,0.235,1.134,0,1.257,0,1.3
Canidae,Canis,latrans,Measured,0,1.127,0,1.295,0,1.335
Canidae,Canis,lepophagus,Inferred_teeth,0.252,1.175,0,1.277,0,1.314
Canidae,Canis,longdanensis,Inferred_teeth,0.194,1.416,0,1.409,0,1.387
Canidae,Canis,lupaster,Inferred_teeth,0.185,1.024,0,1.22,0,1.241
Canidae,Canis,lupus,Measured,0,1.508,0,1.363,0,1.419
Canidae,Canis,mesomelas,Measured,0,0.929,0.049,1.191,0,1.223
Canidae,Canis,pinjorensis,Inferred_teeth,0.202,0.638,0.043,1.059,0,1.079
Canidae,Canis,rufus,Measured,0,1.361,0.069,1.332,0.067,1.363
Canidae,Canis,simensis,Measured,0,1,0,1.223,0,1.305
Canidae,Canis,teilhardi,Inferred_teeth,0.193,1.483,0,1.407,0,1.442
Canidae,Canis,thooides,Inferred_teeth,0.24,1.05,0,1.223,0,1.264
Canidae,Carpocyon,compressus,Inferred_teeth,0.374,1.37,0,1.236,0,1.321
Canidae,Carpocyon,limosus,Inferred_teeth,0.41,1.275,0,1.196,0.052,1.281
Canidae,Carpocyon,robustus,Inferred_teeth,0.387,1.496,0,1.286,0,1.377
Canidae,Carpocyon,webbi,Inferred_teeth,0.394,1.547,0,1.314,0,1.392
Canidae,Cerdocyon,avius,Inferred_teeth,0.227,0.676,0.052,1.07,0,1.107
Canidae,Cerdocyon,texanus,Inferred_teeth,0.24,0.832,0,1.14,0,1.166
Canidae,Cerdocyon,thous,Measured,0,0.719,0.091,1.09,0.087,1.13
Canidae,Chrysocyon,brachyurus,Measured,0,1.366,0.087,1.311,0.083,1.364
Canidae,Chrysocyon,nearcticus,Inferred_teeth,0.224,1.266,0.054,1.287,0,1.34
Canidae,Cormocyon,copei,Inferred_teeth,0.388,0.726,0,0.971,0,1.045
Canidae,Cormocyon,haydeni,Inferred_teeth,0.345,0.707,0,0.981,0,1.02
Canidae,Cuon,alpinus,Measured,0,1.106,0.05,1.304,0,1.346
Canidae,Cynarctoides,acridens,Inferred_teeth,0.363,0.473,0,0.878,0,0.926
Canidae,Cynarctoides,emryi,Inferred_teeth,0.351,0.365,0.052,0.831,0,0.882
Canidae,Cynarctoides,gawnae,Inferred_teeth,0.349,0.377,0,0.82,0,0.903
Canidae,Cynarctoides,harlowi,Inferred_teeth,0.34,0.23,0.056,0.78,0,0.82
Canidae,Cynarctoides,lemur,Inferred_teeth,0.337,0.353,0,0.833,0,0.871
Canidae,Cynarctoides,luskensis,Inferred_teeth,0.342,0.383,0,0.851,0,0.878
Canidae,Cynarctoides,whistleri,Inferred_teeth,0.358,0.228,0.061,0.78,0,0.82
Canidae,Cynarctus,crucidens,Inferred_teeth,0.393,0.708,0,0.948,0,1.051
Canidae,Cynarctus,galushai,Inferred_teeth,0.365,1.057,0,1.092,0,1.201
Canidae,Cynarctus,marylandica,Inferred_Phylogeny,0.46,1.022,0.121,1.088,0.12,1.176
Canidae,Cynarctus,saxatilis,Inferred_teeth,0.369,1.132,0,1.134,0,1.222
Canidae,Cynarctus,wangi,Inferred_Phylogeny,0.43,1.01,0.1,1.081,0.099,1.173
Canidae,Cynarctus,voorhiesi,Inferred_teeth,0.377,0.937,0.04,1.05,0,1.143
Canidae,Cynodesmus,martini,Inferred_teeth,0.312,1.424,0,1.283,0,1.303
Canidae,Cynodesmus,thooides,Inferred_teeth,0.326,1.162,0,1.163,0,1.203
Canidae,Cynotherium,sardous,Inferred_teeth,0.249,1.097,0.054,1.25,0,1.282
Canidae,Desmocyon,matthewi,Inferred_teeth,0.346,1.039,0,1.108,0,1.171
Canidae,Desmocyon,thomsoni,Inferred_teeth,0.348,0.959,0,1.081,0,1.132
Canidae,Dusicyon,australis,Measured,0,1.699,0.07,1.423,0.069,1.475
Canidae,Dusicyon,avus,Measured,0,1.114,0,1.277,0,1.331
Canidae,Ectopocynus,antiquus,Inferred_teeth,0.325,1.138,0.052,1.174,0,1.173
Canidae,Ectopocynus,intermedius,Inferred_teeth,0.318,1.359,0,1.26,0,1.272
Canidae,Ectopocynus,simplicidens,Inferred_teeth,0.36,1.526,0.06,1.33,0,1.343
Canidae,Enhydrocyon,basilatus,Inferred_teeth,0.33,1.628,0,1.369,0,1.389
Canidae,Enhydrocyon,crassidens,Inferred_teeth,0.33,1.582,0,1.353,0,1.366
Canidae,Enhydrocyon,pahinsintewakpa,Inferred_teeth,0.319,1.441,0,1.286,0,1.314
Canidae,Enhydrocyon,stenocephalus,Inferred_teeth,0.316,1.424,0,1.286,0,1.301
Canidae,Epicyon,aelurodontoides,Inferred_teeth,0.399,1.93,0,1.496,0.052,1.534
Canidae,Epicyon,haydeni,Inferred_teeth,0.407,1.987,0,1.518,0,1.559
Canidae,Epicyon,saevus,Inferred_teeth,0.404,1.75,0,1.414,0,1.464
Canidae,Eucyon,adoxus,Inferred_teeth,0.209,1.024,0,1.207,0,1.26
Canidae,Eucyon,cipio,Inferred_teeth,0.197,1.249,0,1.328,0,1.324
Canidae,Eucyon,davisi,Inferred_teeth,0.262,1.001,0,1.196,0,1.232
Canidae,Eucyon,debonisi,Inferred_teeth,0.2,0.928,0,1.18,0,1.203
Canidae,Eucyon,kuruksaiensis,Inferred_teeth,0.22,1.108,0.048,1.258,0,1.29
Canidae,Eucyon,kuta,Inferred_teeth,0.224,0.985,0.048,1.203,0,1.23
Canidae,Eucyon,michauxi,Inferred_Phylogeny,0.319,1.12,0.107,1.259,0.103,1.291
Canidae,Eucyon,minor,Inferred_teeth,0.227,0.944,0.05,1.189,0,1.215
Canidae,Eucyon,monticinensis,Inferred_teeth,0.224,1.052,0.048,1.226,0,1.258
Canidae,Eucyon,odessanus,Inferred_teeth,0.226,1.011,0.049,1.215,0,1.243
Canidae,Eucyon,skinneri,Inferred_teeth,0.178,0.85,0.038,1.141,0,1.17
Canidae,Eucyon,zhoui,Inferred_teeth,0.224,1.064,0.049,1.236,0,1.265
Canidae,Euoplocyon,brachygnathus,Inferred_teeth,0.365,1.236,0,1.196,0,1.249
Canidae,Euoplocyon,spissidens,Inferred_teeth,0.353,1.144,0,1.152,0,1.215
Canidae,Hesperocyon,coloradensis,Inferred_teeth,0.265,0.783,0,1.004,0,1.043
Canidae,Hesperocyon,gregarius,Inferred_teeth,0.28,0.622,0,0.941,0,0.972
Canidae,Leptocyon,delicatus,Inferred_teeth,0.252,0.075,0,0.748,0.048,0.804
Canidae,Leptocyon,douglassi,Inferred_teeth,0.252,0.542,0,0.951,0,0.992
Canidae,Leptocyon,gregorii,Inferred_teeth,0.238,0.575,0,0.993,0,1.019
Canidae,Leptocyon,leidyi,Inferred_teeth,0.289,0.55,0,0.98,0,1.027
Canidae,Leptocyon,matthewi,Inferred_teeth,0.249,0.738,0,1.068,0,1.117
Canidae,Leptocyon,mollis,Inferred_teeth,0.225,0.601,0,0.978,0.038,1.016
Canidae,Leptocyon,tejonensis,Inferred_teeth,0.198,0.587,0,1.004,0,1.072
Canidae,Leptocyon,vafer,Inferred_teeth,0.278,0.644,0,1.023,0,1.07
Canidae,Leptocyon,vulpinus,Inferred_teeth,0.264,0.655,0,1.017,0,1.052
Canidae,Lycalopex,culpaeus,Measured,0,0.993,0.097,1.175,0.095,1.218
Canidae,Lycalopex,fulvipes,Measured,0,0.453,0.097,1.023,0.095,1.067
Canidae,Lycalopex,griseus,Measured,0,0.918,0.097,1.154,0.095,1.197
Canidae,Lycalopex,gymnocercus,Measured,0,0.671,0.097,1.085,0.095,1.128
Canidae,Lycalopex,sechurae,Measured,0,0.602,0.097,1.065,0.095,1.109
Canidae,Lycalopex,vetulus,Measured,0,0.728,0.097,1.101,0.095,1.144
Canidae,Lycaon,pictus,Measured,0,1.343,0,1.322,0.049,1.352
